"Position","Candidate Name","Votes","Votes %","Party"
1,Ramesh Bais,654922,52.4%,Bharatiya Janta Party
2,Satya Narayan Sharma (SATTU BHAIYA),483276,38.6%,Indian National Congress
3,Sandeep Tiwari,15139,1.2%,Aam Aadmi Party
4,Guruji Virendra Kumar Dahariya,13147,1.1%,Bahujan Samaj Party
5,Om Prakash Dande,12699,1.0%,Independent
6,Shameem Khan,6750,0.5%,Independent
7,Abdul Safiq Khan,6250,0.5%,Independent
8,Ajay Verma,4963,0.4%,Chhattisgarh Swabhiman Manch
9,Kamaluddin,4316,0.3%,Independent
10,Umesh Kumar Verma,3527,0.3%,Independent
11,Rijhendra Dahariya,3398,0.3%,Independent
12,Shankar Lal Varandani,2726,0.2%,Independent
13,Anil Kumar Umre,2700,0.2%,Ambedkarite Party Of India
14,Ramgopal Verma,2619,0.2%,All India Trinamool Congress
15,Kranti Chandrakar,2521,0.2%,Independent
16,Naarad Prasad Nishad,2215,0.2%,Independent
17,Lalit Kumar Patel,2184,0.2%,Independent
18,Satanami Santosh Dahariya,1657,0.1%,Independent
19,Ramkrishna Verma,1596,0.1%,Independent
20,Mahesh Harpal,1562,0.1%,Shakti Sena (Bharat Desh)
21,Krishnanandan Singh,1527,0.1%,Independent
22,Naveen Gupta,1507,0.1%,Samajwadi Party
23,Meera Sharma,1405,0.1%,Independent
24,Bisahat Kurre,1365,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
25,Naresh Tandi,1329,0.1%,Independent
26,Madan Lal Sahu,1143,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
27,Yasmin Beg,1086,0.1%,Independent
28,Omprakash Meshram,1026,0.1%,Republican Paksha (Khoripa)
29,Tarzan Jangde,962,0.1%,Independent
30,Imrran Pasha,937,0.1%,Aazadi Ka Antim Aandolan Dal
31,Moinudin Tanvar(MONU),922,0.1%,Independent
32,Basmati Kshatriya,817,0.1%,Independent
33,Teekam Kumar Tondare,741,0.1%,Independent
34,Pravin Jain,729,0.1%,Independent
35,Saiyyad Javed Ali,724,0.1%,Independent
36,Horilal Yadav,662,0.1%,Independent
