"Position","Candidate Name","Votes","Votes %","Party"
1,Jasvantsinh Sumanbhai Bhabhor,511111,56.8%,Bharatiya Janta Party
2,Taviyad Dr. Prabhaben Kishorsinh,280757,31.2%,Indian National Congress
3,Katara Singajibhai Jaljibhai,28958,3.2%,Communist Party Of India (MARXIST)
4,Bhura Navalabhai Manabhai,11244,1.2%,Independent
5,Bamaniya Jyotishkumar Bapubhai,11233,1.2%,Bahujan Samaj Party
6,Kumari Induben Nathubhai Sangada,6838,0.8%,Independent
7,Meda Jagdishbhai Manilal,5078,0.6%,Bharatiya National Janta Dal
8,K.C.Munia Advocate,4849,0.5%,Aam Aadmi Party
9,Bhabhor Mavjibhai Titubhai,4167,0.5%,Samajwadi Party
10,Ramsingbhai Nanjibhai Kalara,3841,0.4%,Janata Dal (United)
