"Position","Candidate Name","Votes","Votes %","Party"
1,Dr Pandula Ravindra Babu,594547,53.0%,Telugu Desam
2,Pinipe Viswarupu,473971,42.3%,Yuvajana Sramika Rythu Congress Party
3,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,12182,1.1%,Indian National Congress
4,G.V.Harsha Kumar,9931,0.9%,Jai Samaikyandhra Party
5,Geddam Sampada Rao,7219,0.6%,Bahujan Samaj Party
6,Kunche Pedasatyanarayana,4560,0.4%,Pyramid Party Of India
7,Konki Venkata Rao,3233,0.3%,Republican Paksha (Khoripa)
8,Vijaya Chakravarthy Panthagada,2867,0.3%,Republican Party Of India (KHOBRAGADE)
9,Vaddi Winston Churchill,1684,0.2%,Independent
10,Yalangi Ramesh,1171,0.1%,Independent
11,Kasi Chandramouli,1110,0.1%,Independent
12,Undru Gani Raju,862,0.1%,Independent
13,Bhaskara Rao Bunga,824,0.1%,Independent
14,Kommu Satyavathi,625,0.1%,Independent
