"Position","Candidate Name","Votes","Votes %","Party"
1,Varaprasad Rao Velagapalli,580376,47.8%,Yuvajana Sramika Rythu Congress Party
2,Karumanchi Jayaram,542951,44.8%,Bharatiya Janta Party
3,Chinta Mohan,33333,2.7%,Indian National Congress
4,Kothapalli Subramanyam,11168,0.9%,Communist Party Of India (MARXIST)
5,M Solmon,9816,0.8%,Andhra Rastra Praja Samithi
6,Neerugutta Nageswara,7280,0.6%,Aam Aadmi Party
7,Dr. U Ramachandra M.B.B.S,6036,0.5%,Bahujan Samaj Party
8,Degala Surya Narayana,2876,0.2%,Pyramid Party Of India
9,Kalavapalli Sahadevaiah,2510,0.2%,Independent
10,Nune Vengaiah,1829,0.2%,Independent
11,K.S. Munirathnam,1696,0.1%,Independent
12,Songa Ratnamma,1645,0.1%,Independent
13,Kattamanchi Prabhakar,1455,0.1%,Independent
14,Thydula Subbaramaiah,1403,0.1%,Independent
