"Position","Candidate Name","Votes","Votes %","Party"
1,Innocent,358440,40.5%,Independent
2,P C Chacko,344556,39.0%,Indian National Congress
3,Adv. B. Gopalakrishnan,92848,10.5%,Bharatiya Janta Party
4,K M Noordeen,35189,4.0%,Aam Aadmi Party
5,Shafeer Muhammed,14386,1.6%,Social Democratic Party Of India
6,K. Ambujakshan,12942,1.5%,Welfare Party Of India
7,Vincent,4596,0.5%,Independent
8,Jaison Panikulangara,2052,0.2%,Independent
9,M G Purushothaman,1942,0.2%,Bahujan Samaj Party
10,Abdul Kareem,1376,0.2%,Rashtriya Janata Dal
11,Edappally Basheer,1346,0.2%,Independent
12,Saji Thuruthikunnel,1114,0.1%,Shiv Sena
13,Jayan Konikara,932,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
14,T D Baburajan,900,0.1%,Independent
15,Annamma Joy,862,0.1%,All India Trinamool Congress
