"Position","Candidate Name","Votes","Votes %","Party"
1,Kamlesh Paswan,417959,47.6%,Bharatiya Janta Party
2,Sadal Prasad,228443,26.0%,Bahujan Samaj Party
3,Gorakh Prasad Paswan,133675,15.2%,Samajwadi Party
4,Sanjai Kumar,50675,5.8%,Indian National Congress
5,Lalchand Prasad Jatav,9769,1.1%,Ambedkar Samaj Party
6,Ramnivas Paswan,5236,0.6%,Aam Aadmi Party
7,Kunjawati,4346,0.5%,Independent
8,Sheo Shankar,4013,0.5%,Independent
9,Ramprit Jakhmee,3080,0.4%,Bahujan Mukti Party
10,Ramnaresh,2963,0.3%,Indian Savarn Samaj Party
11,Arjun Prasad Raw,2896,0.3%,Bhartiya Sarvjan Party
12,Chandrika Prasad Bharati,1327,0.2%,Rashtriya Janwadi Party (Krantikari)
