"Position","Candidate Name","Votes","Votes %","Party"
1,C R Choudhary,414791,41.3%,Bharatiya Janta Party
2,Dr Jyoti Mirdha,339573,33.8%,Indian National Congress
3,Hanuman Beniwal,159980,15.9%,Independent
4,Chhoturam,15234,1.5%,Independent
5,Hariram Mehrada,11352,1.1%,Bahujan Sangharshh Dal
6,Abdul Aziz,11239,1.1%,Bahujan Samaj Party
7,Hariram,8658,0.9%,Independent
8,Ayub Khan,7300,0.7%,Samajwadi Party
9,Bhanwar Singh Rathore,5776,0.6%,All India Trinamool Congress
10,Sunil,5251,0.5%,Independent
11,Nemichand,4372,0.4%,Aarakshan Virodhi Party
12,Mularam,4332,0.4%,Independent
13,Hanumanram,3976,0.4%,Aam Aadmi Party
