"Position","Candidate Name","Votes","Votes %","Party"
1,Kapil Moreshwar Patil,411070,46.9%,Bharatiya Janta Party
2,Patil Vishwanath Ramchandra,301620,34.4%,Indian National Congress
3,Suresh (BALYA MAMA) GOPINATH MHATRE,93647,10.7%,Maharashtra Navnirman Sena
4,Ansari Mumtaz Abdul Satar,14068,1.6%,Bahujan Samaj Party
5,Madhukar Vitthal Patil,13720,1.6%,Communist Party Of India
6,Ansari Jalal Engineer,11055,1.3%,Aam Aadmi Party
7,Suresh Kaluram Jadhav,5941,0.7%,Independent
8,Harishchandra Dattu Patil,4058,0.5%,Independent
9,Yogesh Motiram Kathore,3058,0.3%,Bharipa Bahujan Mahasangh
10,Engineer Navid Betab,2435,0.3%,Independent
11,Ansari Jahid Mukhtar,2126,0.2%,Bahujan Mukti Party
12,Shah Abrar Ahmed Nazeer,2120,0.2%,Peace Party
13,Adv. Dr. Anita Balasaheb Kolekar,1376,0.2%,Prabuddha Republican Party
