"Position","Candidate Name","Votes","Votes %","Party"
1,Prem Singh Chandumajra,347394,32.0%,Shiromani Akali Dal
2,Ambika Soni,323697,29.8%,Indian National Congress
3,Himmat Singh Shergill,306008,28.2%,Aam Aadmi Party
4,K.S.Makhan,69124,6.4%,Bahujan Samaj Party
5,Balbir Singh Jadla,10483,1.0%,Communist Party Of India (MARXIST)
6,Baljit Kaur,4250,0.4%,Independent
7,Faqir Chand Kariha,3869,0.4%,Independent
8,Daljit Singh,2713,0.2%,Independent
9,Davinder Kumar Verma,1995,0.2%,Independent
10,Gursharn Singh Panesar,1943,0.2%,Independent
11,Jaswant Singh Mann,1706,0.2%,Shiromani Akali Dal (SIMRANJIT SINGH MANN)
12,Mandeep Singh Bittu,1427,0.1%,Independent
13,Harcharan Singh,1423,0.1%,Independent
14,Navneet Chautala,1307,0.1%,Independent
15,Gurmeet Singh,1010,0.1%,Independent
16,Resham Kahlon,837,0.1%,Bahujan Sangharshh Dal
17,Gurnam Singh,722,0.1%,Independent
18,Ramesh Rani Parjapati,718,0.1%,Bahujan Mukti Party
