"Position","Candidate Name","Votes","Votes %","Party"
1,Godam Nagesh,430847,41.2%,Telangana Rashtra Samithi
2,Naresh,259557,24.8%,Indian National Congress
3,Ramesh Rathod,184198,17.6%,Telugu Desam
4,Rathod Sadashiv,94420,9.0%,Bahujan Samaj Party
5,Nethawath Ramdas,41032,3.9%,Independent
6,Mosali Chinnaiah,8859,0.8%,Independent
7,Pawar Krishna,5055,0.5%,Independent
8,Banka Sahadev,4787,0.5%,Independent
