"Position","Candidate Name","Votes","Votes %","Party"
1,Jitendra Choudhury,623771,65.6%,Communist Party Of India (MARXIST)
2,Sachitra Debbarma,139413,14.7%,Indian National Congress
3,Bhriguram Reang,77028,8.1%,All India Trinamool Congress
4,Parikshit Debbarma,60613,6.4%,Bharatiya Janta Party
5,Narendra Chandra Deb Barma,10286,1.1%,Indigenousn People's Front Of Tripura
6,Prabiddha Reang,5066,0.5%,Independent
7,Karna Bijoy Jamatia,4871,0.5%,Aam Aadmi Party
8,Falguni Tripura,4444,0.5%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Basu Mog,4262,0.4%,Tripura Pragatishil Gramin Congress
10,Subarna Mala Debbarma,4152,0.4%,Amra Bangalee
11,Bikash Debbarma,3116,0.3%,Jai Maha Bharath Party
12,Patal Kanya Jamatia,3004,0.3%,Independent
