"Position","Candidate Name","Votes","Votes %","Party"
1,Ramesh Bidhuri,497980,45.2%,Bharatiya Janta Party
2,Col Devinder Sehrawat,390980,35.5%,Aam Aadmi Party
3,Ramesh Kumar,125213,11.4%,Indian National Congress
4,Ruby Yadav,56749,5.1%,Independent
5,Sanjay Kumar Rai,10873,1.0%,Bahujan Samaj Party
6,Shrichand Tanwar,4475,0.4%,Communist Party Of India
7,Shahid,2841,0.3%,Independent
8,Sumant Kumar,1640,0.1%,Independent
9,Tej Pal Singh,1215,0.1%,Independent
10,Sunil Kumar,1140,0.1%,Independent
11,Rakesh Kumar,1071,0.1%,Independent
12,Naresh Kumar Chandaliya,913,0.1%,Independent
13,Sreerupa Mitra Chaudhury,803,0.1%,All India Trinamool Congress
14,Mohan Kanuga,561,0.1%,J & K National Panthers Party
15,Dr. Dusmanta Kumar Giri,560,0.1%,Independent
16,D. K. Chopra,412,0.0%,Independent
17,Hafiz Mustaq,357,0.0%,Jan Samanta Party
18,Kiran Pal Singh,314,0.0%,Independent
19,Cho. Ombir Singh Naughwar,303,0.0%,Bharatiya Bahujan Party
