"Position","Candidate Name","Votes","Votes %","Party"
1,Inderjit Singh Rao,644780,48.8%,Bharatiya Janta Party
2,Zakir Hussain,370058,28.0%,Indian National Lok Dal
3,Rao Dharam Pal,133713,10.1%,Indian National Congress
4,Yogendra Yadav,79452,6.0%,Aam Aadmi Party
5,Dharampal,65009,4.9%,Bahujan Samaj Party
6,Kusheshwar Bhagat,7821,0.6%,Independent
7,Fauji Jai Kawar Tyagi Dixit,3147,0.2%,Independent
8,Manoj Yadav,3043,0.2%,Independent
9,Akbar Kasmi,1429,0.1%,Rashtriya Ulama Council
10,Hemant Kumar Saini,1153,0.1%,Bahujan Mukti Party
11,Mahender Jat,1021,0.1%,Independent
12,Karan Singh Journalist,938,0.1%,Independent
13,Umed Singh,927,0.1%,Rashtriya Morcha Party
14,Mul Chand,804,0.1%,Independent
15,Ashok Bhardwaj,713,0.1%,National Janhit Congress (AB)
16,Abdul Latif,699,0.1%,Independent
17,Surinder Kumar Khullar,686,0.1%,Independent
18,Ombir Sharma,566,0.0%,Independent
18,Rajesh,566,0.0%,Independent
20,Rajeev Yadav,493,0.0%,Independent
21,Usha Rani Verma,489,0.0%,Independent
22,Ahshan Ali,455,0.0%,Independent
