"Position","Candidate Name","Votes","Votes %","Party"
1,Sugata Bose,584244,45.9%,All India Trinamool Congress
2,Sujan Chakraborty,459041,36.1%,Communist Party Of India (MARXIST)
3,Dr. Sarup Prasad Ghosh,155511,12.2%,Bharatiya Janta Party
4,Samir Aich,26344,2.1%,Indian National Congress
5,Dr. Asok Kumar Samanta,11317,0.9%,Socialist Unity Centre Of India (COMMUNIST)
6,Sandhya Mandal,3945,0.3%,Bahujan Samaj Party
7,Mangal Kumar Sardar,3406,0.3%,Independent
8,Susanta Kumar Naskar,3067,0.2%,Independent
9,Shamali Das,2885,0.2%,Independent
10,Kartik Kayal,2837,0.2%,Independent
11,Hasibul Islam Mir,1464,0.1%,Rashtriya Janasachetan Party (R.J.P.)
12,Pintu Sanpui,1340,0.1%,Bahujan Mukti Party
13,Ashok Kumar Shaw,1294,0.1%,Independent
