"Position","Candidate Name","Votes","Votes %","Party"
1,Vanaroja R,500751,46.9%,All India Anna Dravida Munnetra Kazhagam
2,Annadurai C N,332145,31.1%,Dravida Munetra Kazhagam
3,Ediroli Manian G,157954,14.8%,Pattali Makkal Katchi
4,Subramaniyan A,17854,1.7%,Indian National Congress
5,Murugesan K,10708,1.0%,Independent
6,Arumugam C,6278,0.6%,Samajwadi Party
7,Kothandapani B,4688,0.4%,Independent
8,Baskaran M R,4328,0.4%,Bahujan Samaj Party
9,Senthil S,3867,0.4%,Independent
10,Ramesh P,2445,0.2%,Independent
11,Ravindran T,1999,0.2%,Tamil Nadu Makkal Congress
12,Loganathan P,1729,0.2%,Independent
13,Annadurai B,1693,0.2%,Independent
14,Anbalagan D,1686,0.2%,Independent
15,Manikkavel M R,1555,0.1%,Janata Dal (Secular)
16,Kamaraj M,1369,0.1%,Independent
17,Murugan P,991,0.1%,Independent
18,Arumugam R,973,0.1%,Independent
19,Vaithiyanathan S,931,0.1%,Independent
20,Aruljothi A,904,0.1%,Independent
21,Annadurai A,865,0.1%,Independent
22,Arunachalam P,736,0.1%,Independent
23,Velmurugan A,724,0.1%,Independent
24,Prabakaran L,679,0.1%,Independent
