"Position","Candidate Name","Votes","Votes %","Party"
1,Hari Manjhi,326230,40.3%,Bharatiya Janta Party
2,Ramji Manjhi,210726,26.0%,Rashtriya Janata Dal
3,Jitan Ram Manjhi,131828,16.3%,Janata Dal (United)
4,Ashok Kumar,36863,4.6%,Jharkhand Mukti Morcha
5,Dr. Dev Kumar Choudhary,19651,2.4%,Independent
6,Shiv Kumar Kant,16028,2.0%,Bahujan Samaj Party
7,Kapil Choudhary,9004,1.1%,All India Trinamool Congress
8,Niranjan Kumar,7624,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Bhuneswar Das,7549,0.9%,Rashtriya Ahinsa Manch
10,Dhananjay Kishore,7312,0.9%,Aam Aadmi Party
11,Mamta Kumari,6065,0.7%,Samajwadi Party
12,Shiv Shankar Kumar,5924,0.7%,Bharat Bhrashtachar Mitao Party
13,Indra Deo Choudhary,5544,0.7%,Bahujan Mukti Party
