"Position","Candidate Name","Votes","Votes %","Party"
1,Jagdambika Pal,298845,32.0%,Bharatiya Janta Party
2,Muhammad Muqeem,195257,20.9%,Bahujan Samaj Party
3,Mata Prasad Pandey,174778,18.7%,Samajwadi Party
4,Dr. Mohd. Ayub,99242,10.6%,Peace Party
5,Vasundhara,88117,9.4%,Indian National Congress
6,Mukesh Narayan Shukla Urf Gyanesh Narayan Shukla,10952,1.2%,Independent
7,Arjun Singh,9529,1.0%,Bahujan Mukti Party
8,Dr. Satyendra Nath Pandey,9372,1.0%,Aam Janata Party
9,Ram Ugrah,7762,0.8%,Independent
10,Hamidullah Chaudhary,7159,0.8%,Nationalist Congress Party
11,Pingle Prasad,5521,0.6%,Swaraj (J)
12,Diwakar Prasad,5123,0.5%,Independent
13,Kali Ram,4939,0.5%,Independent
14,Santram,3238,0.3%,Bharatiya Rashtriya Bahujan Samaj Vikas Party
15,Badre Alam,3174,0.3%,Aam Aadmi Party
16,Manoj Kumar,2709,0.3%,Suheldev Bhartiya Samaj Party
17,Ravi Kumar,2535,0.3%,Samyak Parivartan Party
