"Position","Candidate Name","Votes","Votes %","Party"
1,Priyanka Singh Rawat,454214,42.5%,Bharatiya Janta Party
2,P. L. Punia,242336,22.7%,Indian National Congress
3,Kamla Prasad Rawat,167150,15.6%,Bahujan Samaj Party
4,Rajrani Rawat,159284,14.9%,Samajwadi Party
5,Rajesh Kumar Vidyarthi,7980,0.7%,Peace Party
6,Khanjan Lal,7136,0.7%,Independent
7,Mahesh,3836,0.4%,Independent
8,Kishan Lal,3261,0.3%,Shiv Sena
9,Dinesh Chandra Gautam,3126,0.3%,Aam Aadmi Party
10,Abhilakh Rawat,3038,0.3%,Independent
11,P. C. Kureel,2560,0.2%,Indian National League
12,Medi Lal,2171,0.2%,Bahujan Mukti Party
13,Babu Lal,2035,0.2%,Manavtawadi Samaj Party
14,Nitin Singh,1315,0.1%,Naitik Party
