"Position","Candidate Name","Votes","Votes %","Party"
1,Ashok Kumar Doharey,439646,46.8%,Bharatiya Janta Party
2,Premdas Kateriya,266700,28.4%,Samajwadi Party
3,Ajay Pal Singh Jatav,192804,20.5%,Bahujan Samaj Party
4,Hans Mukhi Kori,13397,1.4%,Indian National Congress
5,Ujiyare Lal Dohare,5923,0.6%,Aam Aadmi Party
6,Vineet Kumar Gautam,4954,0.5%,Ambedkar Samaj Party
7,Dr Mukesh Singh Dohare,3178,0.3%,Peace Party
8,Har Bilash Dohery,2677,0.3%,Bahujan Mukti Party
9,Prem Chandra,2372,0.3%,Kisan Majdoor Berojgar Sangh
10,Siya Ram Paswan,1788,0.2%,Al-Hind Party
