"Position","Candidate Name","Votes","Votes %","Party"
1,Chhedi Paswan,366087,43.2%,Bharatiya Janta Party
2,Meira Kumar,302760,35.8%,Indian National Congress
3,Karra Parasu Ramaiah,93310,11.0%,Janata Dal (United)
4,Baleshwar Bharti,31528,3.7%,Bahujan Samaj Party
5,Geeta Arya,11005,1.3%,Aam Aadmi Party
6,Tetri Devi,7486,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Surendra Ram,6144,0.7%,Independent
8,Rajnarain Rao,4395,0.5%,Independent
9,Ravikant Chaudhary,3980,0.5%,Independent
10,Saroj Ram,3906,0.5%,Bahujan Mukti Party
11,Nand Lal Ram,2808,0.3%,Independent
