"Position","Candidate Name","Votes","Votes %","Party"
1,Ashok Gajapathi Raju Pusapati,536549,47.9%,Telugu Desam
2,Venkata Swetha Chalapathi Kumara Krishna Rangarao Ravu,429638,38.3%,Yuvajana Sramika Rythu Congress Party
3,Jhansi Lakshmi Botcha,122487,10.9%,Indian National Congress
4,Prasada Rao Nanda,6401,0.6%,Pyramid Party Of India
5,Yella Rao Siyyadula,5125,0.5%,Independent
6,Bonu Krishna,4092,0.4%,Bahujan Samaj Party
7,Harikishan Kuppili,3603,0.3%,Independent
8,Tadivaka Ramesh Naidu,3388,0.3%,Jai Samaikyandhra Party
9,Naru Simhadri Naidu,2505,0.2%,Aam Aadmi Party
