x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Om Prakash Sharma,"58,124",45.2%,Bharatiya Janta Party
2,2,Dr. Atul Gupta,"47,966",37.3%,Aam Aadmi Party
3,3,Naseeb Singh,"20,634",16.0%,Indian National Congress
4,4,Girish Choudhary,854,0.7%,Bahujan Samaj Party
5,5,Jagdish,270,0.2%,Garib Raj Party
6,6,Shokat Ali,140,0.1%,Hind Congress Party
7,7,Vijay Kumar Jha,138,0.1%,Samras Samaj Party
8,8,Praveen Kumar Bharat,95,0.1%,Bhartiya Jan Manch
