x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Imran Hussain,"57,118",59.7%,Aam Aadmi Party
2,2,Shayam Lal Morwal,"23,241",24.3%,Bharatiya Janta Party
3,3,Haroon Yusuf,"13,205",13.8%,Indian National Congress
4,4,Abdul Jabbar,644,0.7%,Communist Party Of India
5,5,Dilip Kumar,438,0.5%,Bahujan Samaj Party
6,6,Daulat Ram,142,0.2%,Independent
7,7,Md.Danish,130,0.1%,Republican Party Of India (A)
8,8,Manish Kumar,120,0.1%,Nagrik Chetna Party
9,9,Krishan Kumar,107,0.1%,Independent
10,10,Aarif Nabi,91,0.1%,Independent
11,11,Rajesh Kumar,61,0.1%,Bahujan Mukti Party
12,12,Prem,55,0.1%,Bhartiya Janta Dal (Integrated)
