x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Asim Ahmed Khan,"47,584",59.2%,Aam Aadmi Party
2,2,Shoaib Iqbal,"21,488",26.8%,Indian National Congress
3,3,Shakeel Anjum,"9,105",11.3%,Bharatiya Janta Party
4,4,Mohd Sami,430,0.5%,Independent
5,5,Ravi Anand,396,0.5%,Bahujan Samaj Party
6,6,Umar Farooq,215,0.3%,Independent
7,7,Mohd Shafi,164,0.2%,Bahujan Mukti Party
8,8,Shoaib Ahmed,161,0.2%,Independent
9,9,Imran Husain,131,0.2%,Indian Union Muslim League
10,10,Mohd Shahzaman Sultan,122,0.2%,Independent
11,11,Mohammad Ahmed Saifi,91,0.1%,Independent
12,12,Mehfuz Khan,90,0.1%,J & K National Panthers Party
13,13,Chaman Parkash Sunil,45,0.1%,Garib Raj Party
14,14,Shueb Ahmed Khan,43,0.1%,Independent
15,15,Prem Nath,29,0.0%,Independent
16,16,Moazam Khan,19,0.0%,Hind Congress Party
17,17,Tariq Mirza,19,0.0%,Republican Party Of India (A)
