x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Rajesh Rishi,"71,802",57.7%,Aam Aadmi Party
2,2,Prof. Jagdish Mukhi,"46,222",37.2%,Bharatiya Janta Party
3,3,Suresh Kumar,"4,699",3.8%,Indian National Congress
4,4,Hari Prakash Singh,471,0.4%,Bahujan Samaj Party
5,5,Ravindra Nath Tiwari,223,0.2%,Independent
6,6,Anil Gupta,214,0.2%,Independent
7,7,Rajender Sharma,162,0.1%,Hind Congress Party
8,8,Charanjit Singh Sodhi,63,0.1%,Independent
9,9,Paramjit Singh Saini,49,0.0%,Shiv Sena
