x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sanjeev Jha,"124,724",63.8%,Aam Aadmi Party
2,2,Gopal Jha,"56,774",29.1%,Bharatiya Janta Party
3,3,J S Chauhan,"6,750",3.5%,Indian National Congress
4,4,Rambir,"2,343",1.2%,Bahujan Samaj Party
5,5,Manager Chaurasiya,930,0.5%,Socialist Unity Centre Of India (COMMUNIST)
6,6,Dharam Pal Singh,561,0.3%,Shiv Sena
7,7,Khadak Lal,540,0.3%,Independent
8,8,Richa Mundra,532,0.3%,Samras Samaj Party
9,9,Nafe Singh Rajput,435,0.2%,Independent
10,10,Prem Shankar Sharma,382,0.2%,Akhil Bhartiya Sudhar Party
11,11,Madhu Diwakar,250,0.1%,Communist Party Of India (MARXIST)
12,12,Ranjan Kumar Singh,158,0.1%,Bharatiya Janta Dal
13,13,Sushil Kumar Mishra,130,0.1%,Akhil Bharat Hindu Mahasabha
14,14,Gulab Singhal,110,0.1%,Rajlok Party
15,15,Rajbir Singh,109,0.1%,Independent
16,16,Praven Kumar,105,0.1%,Gareeb Aadmi Party
17,17,Pankaj Kumar Agarawal,96,0.1%,Peoples Green Party
18,18,Kalpana Gupta,85,0.0%,Republican Party Of India (A)
