x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Kailash Gahlot,"55,598",34.6%,Aam Aadmi Party
2,2,Bharat Singh,"54,043",33.7%,Indian National Lok Dal
3,3,Ajeet Singh Kharkhari,"39,462",24.6%,Bharatiya Janta Party
4,4,Jai Kishan Sharma,"8,180",5.1%,Indian National Congress
5,5,Ram Singh,"1,108",0.7%,Bahujan Samaj Party
6,6,Bharat Singh,391,0.2%,Independent
7,7,Baidyanath Sah,350,0.2%,Proutist Bloc India
8,8,Inderjeet,295,0.2%,Independent
9,9,Lalit Vashist,259,0.2%,Independent
10,10,Dharambir Singh,132,0.1%,Independent
11,11,Kailash Chand,85,0.1%,Independent
12,12,Ajit Singh,74,0.1%,Rashtriya Bahujan Hitay Party
13,13,Neelam,70,0.0%,Independent
