x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sarita Singh,"62,209",46.0%,Aam Aadmi Party
2,2,Jitender Mahajan,"54,335",40.1%,Bharatiya Janta Party
3,3,Vipin Sharma,"15,548",11.5%,Indian National Congress
4,4,Praveen Bansal,"2,115",1.6%,Bahujan Samaj Party
5,5,Atul Kumar,243,0.2%,Garib Raj Party
6,6,Raisuddin,191,0.1%,Independent
7,7,Pawan Kumar,87,0.1%,J & K National Panthers Party
8,8,Rajendra Kumar,85,0.1%,Rashtriya Bahujan Congress Party
9,9,Naresh Kumar,67,0.1%,Independent
10,10,Rajeev Sohi,65,0.1%,Shiv Sena
