x,Position,Candidate Name,Votes,Votes %,Party,AC
1,1,Sahi Ram,"64,311",62.4%,Aam Aadmi Party
2,2,Vikram Bidhuri,"30,610",29.7%,Bharatiya Janta Party
3,3,Sachin,"4,269",4.1%,Indian National Congress
4,4,Girraj Singh,"2,015",2.0%,Bahujan Samaj Party
5,5,Manoj Kumar Ray,549,0.5%,Independent
6,6,Abdul Basit,236,0.2%,Rashtriya Janata Dal
7,7,Sachin Kumar,223,0.2%,Independent
8,8,Shalini,177,0.2%,Rashtriya Bahujan Congress Party
9,9,Tejpal Singh,173,0.2%,Independent
10,10,Rekha Singh,111,0.1%,Independent
