"Position","Candidate Name","Votes","Votes %","Party"
1,Sushma Swaraj,714348,66.5%,Bharatiya Janta Party
2,Lakshman Singh,303650,28.3%,Indian National Congress
3,Kamlesh Sallam,10824,1.0%,Gondvana Gantantra Party
4,Amar Singh Patel,9699,0.9%,Bahujan Samaj Party
5,Chandresh Singh,5359,0.5%,Independent
6,Engineear Bhagwat Singh Rajput,5204,0.5%,Aam Aadmi Party
7,Ramdayal Kori,4159,0.4%,Independent
8,Manoj Kumar Yadav,3293,0.3%,Samajwadi Party
9,Shoiab Khan,2200,0.2%,Prajatantrik Samadhan Party
10,Ganesh Rajak,1761,0.2%,Samata Party
11,Narmada Prashad Ahirwar,1270,0.1%,Bahujan Mukti Party
12,Babulal,1088,0.1%,Samata Samadhan Party
