"Position","Candidate Name","Votes","Votes %","Party"
1,Prathap Simha,503908,43.5%,Bharatiya Janta Party
2,Adagooru H Vishwanath,472300,40.7%,Indian National Congress
3,Chandrashekaraiah,138587,12.0%,Janata Dal (Secular)
4,C Mohan Kumar,13637,1.2%,Bahujan Samaj Party
5,Padmamma M V,5650,0.5%,Aam Aadmi Party
6,Rathi Poovaiah,3726,0.3%,Karunaadu Party
7,Sampathu N,2078,0.2%,Independent
8,Bojanna N Somaiah,2032,0.2%,Independent
9,Thimme Gowda,1516,0.1%,Sarva Janata Party
10,Praveen M S,1439,0.1%,Independent
11,Hunsur K Chandrashekar,1342,0.1%,Democratic Prajakranthi Party Secularist
12,D Eswar Thoremavu,1246,0.1%,Independent
13,Bannur Kumar,1215,0.1%,Independent
14,S P Mahadevappa,1016,0.1%,Janata Dal (United)
15,D S Nirvanappa,978,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
