"Position","Candidate Name","Votes","Votes %","Party"
1,Vincent H. Pala,209340,33.8%,Indian National Congress
2,Prechard B. M. Basaiawmoit,168961,27.3%,Independent
3,Paul Lyngdoh,106817,17.2%,United Democratic Party
4,Shibun Lyngdoh,95979,15.5%,Bharatiya Janta Party
5,Armerington Kharshiing,8815,1.4%,Aam Aadmi Party
6,Richard D. Shabong,7418,1.2%,Communist Party Of India
7,Ivoryna Shylla,6605,1.1%,Independent
8,Denis Siangshai,5092,0.8%,Independent
