"Position","Candidate Name","Votes","Votes %","Party"
1,Kumar.P,458478,46.4%,All India Anna Dravida Munnetra Kazhagam
2,Anbhalagan.Mu,308002,31.2%,Dravida Munetra Kazhagam
3,Vijaykumar.Amg,94785,9.6%,Desiya Murpokku Dravida Kazhagam
4,Sarubala R Thondaiman,51537,5.2%,Indian National Congress
5,Sridhar.S,17039,1.7%,Communist Party Of India (MARXIST)
6,Ravi.P,4885,0.5%,Aam Aadmi Party
7,Kumar.P,4077,0.4%,Independent
8,Arunachalam.A,3239,0.3%,Independent
9,Shadhick Batcha.A,3083,0.3%,Independent
10,Eswaran.J,2484,0.3%,Independent
11,Sridevi.S,2348,0.2%,Independent
12,Natarajan.S,1710,0.2%,Bahujan Samaj Party
13,Asaithambi.Pala,1425,0.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
14,Ragavan. R,1283,0.1%,Independent
15,Larance.Y,1198,0.1%,Independent
16,Dineshkumar.G,1119,0.1%,Independent
17,Jothi.P,1003,0.1%,Samajwadi Party
18,Sundarraj.S,784,0.1%,Independent
19,Thaddaus Fernandez,751,0.1%,Independent
20,Asraf Ali.M,734,0.1%,Independent
21,Anwar Deen.S,731,0.1%,Samata Party
22,Palanivel.P,687,0.1%,Independent
23,Vijayakumar.P,680,0.1%,Independent
24,Badhusha.M,669,0.1%,Independent
25,Anbalagan.M,636,0.1%,Independent
26,Karunakaran.M,606,0.1%,Lok Satta Party
27,Veeramalai.A,589,0.1%,Independent
28,Bala Krishnan.K,485,0.0%,Independent
29,Mohandass.M,355,0.0%,Independent
