"Position","Candidate Name","Votes","Votes %","Party"
1,Laxmi Narayan Yadav,482580,54.1%,Bharatiya Janta Party
2,Govind Singh Rajput,361843,40.6%,Indian National Congress
3,Saroj Katiyar Kurmi,19917,2.2%,Bahujan Samaj Party
4,Atul Mishra,6328,0.7%,Aam Aadmi Party
5,M. Hanif Qurashi,3856,0.4%,Independent
6,Shitin Keshrwani,2020,0.2%,Independent
7,Mahendra Kumar Choudhary,1632,0.2%,Independent
8,Vinay Kumar,1565,0.2%,Bhartiya Shakti Chetna Party
9,Bharat Sen Advocate,1556,0.2%,Independent
10,Kashiram Patel,1128,0.1%,Gondvana Gantantra Party
