"Position","Candidate Name","Votes","Votes %","Party"
1,Balka Suman,565496,55.3%,Telangana Rashtra Samithi
2,G. Vivekanand,274338,26.8%,Indian National Congress
3,Dr.Janapati Sarat Babu,63334,6.2%,Telugu Desam
4,Velthuru Mallaiah,45977,4.5%,Republican Paksha (Khoripa)
5,Tagaram Shankar Lal,9449,0.9%,Bahujan Samaj Party
6,Kalvala Shankar,9290,0.9%,Pyramid Party Of India
7,Jinna Ramadevi,9199,0.9%,Independent
8,Kalvala Sanjeev,8609,0.8%,Republican Party Of India
9,Bupelli Narayana,7258,0.7%,Independent
10,Venkata Swamy Injam,3866,0.4%,Mahajana Socialist Party
11,Thallapalli Srinivas,3699,0.4%,Independent
12,Gaddala Vinay Kumar,3266,0.3%,Independent
13,J.V. Raju,3020,0.3%,New India Party
14,Kamilla Jaya Rao,2742,0.3%,Independent
15,Moutam Ravinder,2674,0.3%,Independent
16,Gorre Ramesh,2361,0.2%,Independent
17,Botha Venkata Mallaiah,2245,0.2%,B. C. United Front
