"Position","Candidate Name","Votes","Votes %","Party"
1,Ramen Deka,486357,39.4%,Bharatiya Janta Party
2,Kirip Chaliha,463473,37.6%,Indian National Congress
3,Sahadev Das,86347,7.0%,Bodaland Peoples Front
4,Paresh Baishya,74710,6.1%,All India United Democratic Front
5,Madhab Rajbangshi,66467,5.4%,Asom Gana Parisad
6,Shachindra Nath Brahma,12443,1.0%,Independent
7,Deba Kumar Barman,8341,0.7%,All India Trinamool Congress
8,Swarnalata Chaliha,7600,0.6%,Socialist Unity Centre Of India (COMMUNIST)
9,Sahnur Ali,5531,0.4%,Independent
10,Aroon Barooa,4164,0.3%,Regional Democratic Secular Congress
11,Ratul Kumar Choudhury,3658,0.3%,Samajwadi Party
12,Namrata Sarma,3424,0.3%,Aam Aadmi Party
