"Position","Candidate Name","Votes","Votes %","Party"
1,Ramsinh Rathwa,607916,55.2%,Bharatiya Janta Party
2,Naranbhai Jemalabhai Rathva,428187,38.9%,Indian National Congress
3,Prof. Arjunbhai Versingbhai Rathva,23116,2.1%,Aam Aadmi Party
4,Vasava Prafulbhai Devjibhai,12508,1.1%,Janata Dal (United)
