"Position","Candidate Name","Votes","Votes %","Party"
1,Janardan Mishra,383320,46.2%,Bharatiya Janta Party
2,Sunderlal Tiwari,214594,25.9%,Indian National Congress
3,Deoraj Singh Patel,175567,21.2%,Bahujan Samaj Party
4,Abdul Wafati Ansari Urf Yuvraj Tailors,7527,0.9%,Samata Party
5,Purnanand Tiwari,5835,0.7%,Aam Aadmi Party
6,Vishwa Nath Dwivedi,5057,0.6%,Independent
7,Pramod Tiwari,4794,0.6%,Bhartiya Shakti Chetna Party
8,Bramhadatta Mishra Urf Chhote,4718,0.6%,Independent
9,Prabhunath Prasad Saket,4389,0.5%,Independent
10,Janardan Mishra,3608,0.4%,Independent
11,Girish Kumar Gautam,3260,0.4%,Independent
12,R.D. Vishwakarma,3164,0.4%,Apna Dal
13,Ramkishan Nirat (SAKET),2055,0.2%,Republican Party Of India (A)
14,Mangleshwar Bhaiya,1456,0.2%,Naya Daur Party
