"Position","Candidate Name","Votes","Votes %","Party"
1,Satabdi Roy,460568,36.1%,All India Trinamool Congress
2,Dr. Elahi Kamre Mahammad,393305,30.8%,Communist Party Of India (MARXIST)
3,Joy Banerjee,235753,18.5%,Bharatiya Janta Party
4,Syed Siraj Jimmi,132084,10.4%,Indian National Congress
5,Shibratan Sharma,7989,0.6%,Jharkhand Mukti Morcha
6,Prasanta Roy,7194,0.6%,Samajwadi Party
7,Prabir Mukhopadhyay,7141,0.6%,Bahujan Samaj Party
8,Ayesha Khatun,6593,0.5%,Socialist Unity Centre Of India (COMMUNIST)
9,Suttam Das,5448,0.4%,Independent
10,Sajal Das,2982,0.2%,Bahujan Mukti Party
11,Nurul Islam,2205,0.2%,Janata Dal (United)
