"Position","Candidate Name","Votes","Votes %","Party"
1,Chandrakant Bhaurao Khaire,520902,53.0%,Shiv Sena
2,Patil Nitin Suresh,358902,36.5%,Indian National Congress
3,Jevrikar Indrakumar Dnyanoba,37419,3.8%,Bahujan Samaj Party
4,Subhash Kalyanrao Lomte,11974,1.2%,Aam Aadmi Party
5,Tribhuvan Madhukar Padmakar,6135,0.6%,Independent
6,Dandge Nanasaheb Damodhar,5901,0.6%,Independent
7,Abdul Khudus Abdul Samad Shaikh,3775,0.4%,Bahujan Mukti Party
8,Nadeem Rana,2922,0.3%,Independent
9,Sayyad Shafiyoddin Vahiyoddin,2885,0.3%,Welfare Party Of India
10,Gayake Sadashiv Ambadas,2646,0.3%,Samajwadi Party
11,Phulare Suresh Asaram,2520,0.3%,Independent
12,Kailas Chandrabhan Thengde,2123,0.2%,Independent
13,Ankush Munjaji Tupsamundre,2019,0.2%,Independent
14,Bansode Udhav Govardhan,1795,0.2%,Independent
15,Shaik Sayyad Shaik Mahmood,1581,0.2%,Independent
16,Ahamad Aziz Ahamad Mateen,1572,0.2%,Independent
17,Jagdip Vishwanath Shinde,1530,0.2%,Independent
18,Nandarkar Vishal Uddhav,1306,0.1%,Independent
19,Raju Baburao Dole,1238,0.1%,Independent
20,Mohmmad Kismatwala Kasim Kismatwala,1201,0.1%,Gareeb Aadmi Party
21,Jadhav Pushpa Shantilal,1038,0.1%,Ambedkar National Congress
22,Dr. Feroz Khan Murtuza Khan,978,0.1%,Independent
23,Bhanudas Ramdas Sarode,934,0.1%,Independent
24,Banswal Mannalal Premchand,893,0.1%,Prabuddha Republican Party
25,Balasaheb Asaram Sarate,880,0.1%,Independent
26,Jawaharlal Laxman Bhagure,878,0.1%,Independent
27,Balasaheb Vitthal Aware,614,0.1%,Independent
