"Position","Candidate Name","Votes","Votes %","Party"
1,Rakesh Singh,564609,56.3%,Bharatiya Janta Party
2,Vivek Krishna Tankha,355970,35.5%,Indian National Congress
3,Aftab Alam,16008,1.6%,Bahujan Samaj Party
4,Captain Hanfee Veer Chakra,15977,1.6%,Aam Aadmi Party
5,Mohd. Adil,9053,0.9%,Indian Union Muslim League
6,Virendra Kumar Sharma,7164,0.7%,Independent
7,Vinay Kumar Jain,6400,0.6%,Independent
8,Manak Lal Gontiya,4261,0.4%,Ambedkarite Party Of India
9,Naveen Jain (YOGACHARYA),2990,0.3%,Independent
10,Vikrant,2797,0.3%,Independent
11,Lal Dash,2234,0.2%,Gondvana Gantantra Party
12,Dr. Dhai Akshar (RAKESH SONKAR),2007,0.2%,Independent
13,Digvijay Singh (SENIOR JOURNLIST),1852,0.2%,Bhartiya Shakti Chetna Party
14,Malkhan Patel,1562,0.2%,Independent
15,Er. Pravin Gajbhiye Dada,1412,0.1%,Bahujan Mukti Party
