"Position","Candidate Name","Votes","Votes %","Party"
1,Tapas Paul,438789,35.2%,All India Trinamool Congress
2,Jha Shantanu,367534,29.5%,Communist Party Of India (MARXIST)
3,Satya Brata Mookherjee,329387,26.4%,Bharatiya Janta Party
4,Ahmed Razia,74789,6.0%,Indian National Congress
5,Subimal Sengupta,7777,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
6,Kamal Datta,7214,0.6%,Socialist Unity Centre Of India (COMMUNIST)
7,Harashit Biswas,6168,0.5%,Bahujan Samaj Party
8,Molla Jaforulla,4865,0.4%,Bahujan Mukti Party
9,Ahamed Hossain,3749,0.3%,Indian Union Muslim League
