"Position","Candidate Name","Votes","Votes %","Party"
1,Rameswar Teli,494364,55.5%,Bharatiya Janta Party
2,Paban Singh Ghatowar,309017,34.7%,Indian National Congress
3,Anup Phukon,45710,5.1%,Asom Gana Parisad
4,Subhas Sen,9374,1.1%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
5,Navajyoti Kalita,8582,1.0%,All India Trinamool Congress
6,Cheni Ram Moran,7112,0.8%,All India Forward Bloc
