"Position","Candidate Name","Votes","Votes %","Party"
1,Bijoya Chakravarty,764985,50.6%,Bharatiya Janta Party
2,Manash Borah,449201,29.7%,Indian National Congress
3,Gopi Nath Das,137254,9.1%,All India United Democratic Front
4,Birendra Prasad Baishya,86546,5.7%,Asom Gana Parisad
5,Benedict Alok Areng,12432,0.8%,Independent
6,Biju Phukan,8162,0.5%,All India Trinamool Congress
7,Pradip Kalita,7345,0.5%,Independent
8,Kazi Nekib Ahmed,6636,0.4%,Regional Democratic Secular Congress
9,Anil Bhagawati,5782,0.4%,Independent
10,Pranjal Bordoloy,4809,0.3%,Aam Aadmi Party
11,Dr. Faruk Aahammed Bhuyan,3540,0.2%,Independent
12,Bandana Barman Baruah,3240,0.2%,Samajwadi Party
13,Dhiraj Medhi,2845,0.2%,Independent
14,Padmeshwar Phukan,2629,0.2%,Independent
15,Khargeswar Das,2532,0.2%,Independent
16,Gopi Baruah,2411,0.2%,Lok Bharati
17,Ajad Ali,2385,0.2%,Independent
18,Md. Zakir Hussain,2275,0.2%,Independent
