"Position","Candidate Name","Votes","Votes %","Party"
1,Pannerselvam.V,556546,48.4%,All India Anna Dravida Munnetra Kazhagam
2,Umarani. S,288936,25.1%,Dravida Munetra Kazhagam
3,Sudhish L K,201265,17.5%,Desiya Murpokku Dravida Kazhagam
4,Rangarajan Mohan Kumaramangalam,46477,4.0%,Indian National Congress
5,Chinnusamy N,5374,0.5%,Independent
6,Satheesh Kumar E,5198,0.5%,Aam Aadmi Party
7,Govindaraju K,3261,0.3%,Independent
8,Senthil Kumar M,2903,0.3%,Independent
9,Sakthivel S,2581,0.2%,Independent
10,Kandasamy R,2550,0.2%,Independent
11,Raja A,2203,0.2%,Independent
12,Kuppayee R,1701,0.1%,Independent
13,Shanmugam G,1623,0.1%,Makkal Manadu Katchi
14,Vinayagamoorthi T,1619,0.1%,Bahujan Samaj Party
15,Umarani S,1232,0.1%,Independent
16,Rajakannu A,1151,0.1%,Independent
17,Thiagarajan K,777,0.1%,Independent
18,Arumugam M,731,0.1%,Independent
19,Venkatesan R,623,0.1%,Republican Party Of India (A)
20,Panneerselvam N,574,0.0%,Independent
21,M Ahamed Shahjahan,529,0.0%,Independent
22,Abdul Wahid I,526,0.0%,Independent
23,Prakasam R,484,0.0%,Independent
24,Mass Ganesh A,474,0.0%,Thrinamool Tamil Nadu Congress
25,Nandakumar G,357,0.0%,Independent
