"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Sanjay Jaiswal,371232,43.4%,Bharatiya Janta Party
2,Prakash Jha,260978,30.5%,Janata Dal (United)
3,Raghunath Jha,121800,14.2%,Rashtriya Janata Dal
4,Prabhu Raj Narain Rao,17157,2.0%,Communist Party Of India (MARXIST)
5,Syed Shamim Akhtar,12415,1.5%,Bahujan Samaj Party
6,Mohan Kumar,11260,1.3%,Independent
7,Nafish Ahamad,10502,1.2%,Independent
8,Syed Irshad Akhtar,9123,1.1%,Independent
9,Ratan Kumar Sarkar,6474,0.8%,Independent
10,Anand Prasad,5818,0.7%,Independent
11,Sunil Kumar Rao,4940,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
12,Anand Kaushal Singh,4297,0.5%,Aam Aadmi Party
