"Position","Candidate Name","Votes","Votes %","Party"
1,Meenakashi Lekhi,453350,46.7%,Bharatiya Janta Party
2,Ashish Khetan,290642,30.0%,Aam Aadmi Party
3,Ajay Makan,182893,18.9%,Indian National Congress
4,Ravi Kumar Gupta,20028,2.1%,Independent
5,Solomon George,6088,0.6%,Bahujan Samaj Party
6,Rubina Khan,1260,0.1%,Independent
7,Biswajit Ranjit Chatterjee,909,0.1%,All India Trinamool Congress
8,Anjuman Agnihotri,887,0.1%,Independent
9,Ghanshyam Dass,862,0.1%,Independent
10,Narendra Singh Rawat,687,0.1%,Independent
11,Dal Chand,662,0.1%,Independent
12,Swadesh Ohri,582,0.1%,Atulya Bharat Party
13,Ratheesh,532,0.1%,Independent
14,Sunita Chaudhary,528,0.1%,J & K National Panthers Party
15,K P Sankaran Menon,499,0.1%,Independent
16,Nikhil Sablania,444,0.0%,Independent
17,Harkrishan Das Nijhawan,429,0.0%,Independent
18,Sujeet Jha,388,0.0%,Bhartiya Janta Dal (Integrated)
19,Lakshmi Narayan,366,0.0%,Bharatiya Bahujan Party
20,Dheeraj Puri,347,0.0%,Shiv Sena
21,Vishal Khosla,298,0.0%,Independent
22,Devi Singh,217,0.0%,Rashtriya Jankranti Party
23,Padmaja Kandukuri,213,0.0%,Independent
24,Meena Singla,205,0.0%,Poorvanchal Rashtriya Congress
25,Lukman Khan,203,0.0%,Independent
26,Naveen Chandra,199,0.0%,Naya Daur Party
27,Ved Prakash,186,0.0%,Independent
28,Pradeep Varma,161,0.0%,Bharat Vishal Party
29,Ramanuj Patel,158,0.0%,Samyak Parivartan Party
