"Position","Candidate Name","Votes","Votes %","Party"
1,Sudip Bandyopadhyay,343687,36.0%,All India Trinamool Congress
2,Rahul (BISWAJIT) SINHA,247461,25.9%,Bharatiya Janta Party
3,Bagchi Rupa,196053,20.5%,Communist Party Of India (MARXIST)
4,Somendranath Mitra,130783,13.7%,Indian National Congress
5,Sanjoy Saha,4808,0.5%,Independent
6,Alok Chaturvedi,4399,0.5%,Aam Aadmi Party
7,Dr. Devendra Pandey,4168,0.4%,Independent
8,Saumen Mitra,3752,0.4%,Independent
9,Phul Chand Ram,2127,0.2%,Bahujan Samaj Party
10,Kali Pada Jana,1860,0.2%,Independent
11,Kaushik Biswas,1810,0.2%,Independent
12,Debajyoti Sengupta,1435,0.2%,Independent
13,Rathindra Nath Roy,1149,0.1%,Independent
14,Md. Ibrahim Khan,749,0.1%,Indian Union Muslim League
15,Tarun Mukherjee,708,0.1%,Rashtriya Janasachetan Party (R.J.P.)
16,S.M. Habibullah,660,0.1%,Gareeb Aadmi Party
17,Mitul Kumar Singh,548,0.1%,Rashtriya Ahinsa Manch
18,Sunirmal Basu,518,0.1%,Independent
