"Position","Candidate Name","Votes","Votes %","Party"
1,Gadkari Nitin Jairam,587767,54.2%,Bharatiya Janta Party
2,Vilas Muttemwar,302939,27.9%,Indian National Congress
3,Dr. Mohan Ramrao Gaikwad,96433,8.9%,Bahujan Samaj Party
4,Anjali Anish Damania,69081,6.4%,Aam Aadmi Party
5,Kavita Vinodkumar Tibdiwal,2408,0.2%,Independent
6,Kanphade Rajendrakumar Ex. Additional Collector,2269,0.2%,Independent
7,Senapati Uttam Sapan,2017,0.2%,Independent
8,Chanda Sudhir Manwatkar,1880,0.2%,Independent
9,Dr. Pradeep Rambhauji Nagrale,1366,0.1%,Ambedkarite Party Of India
10,Ansari Javed Ahemad,1262,0.1%,Democratic Secular Party
11,Shridhar Narayan Salve,1187,0.1%,Independent
12,Somkuvar Vijay Sitaram,1077,0.1%,Independent
13,Sunil Dattu Pendor,836,0.1%,Bahujan Mukti Party
14,Jivan Ramteke,807,0.1%,Independent
15,Gaus Mohammed Sheikh Ayyub Sheikh,784,0.1%,Independent
16,Ravindra Manik Borkar,760,0.1%,Independent
17,Adv. Suresh Shinde,677,0.1%,Independent
18,Mohan Marotrao Karemore,665,0.1%,Independent
19,Anita Nagdigambar Tekam,660,0.1%,Independent
20,Phusey Ghanshyam Ramaji,655,0.1%,Republican Party Of India
21,Ajaz Khan,542,0.0%,Independent
21,Shakil Wasi Ahamad,542,0.0%,Independent
23,Baburao Damaduji Meshram,539,0.0%,Independent
24,Rajesh Suresh Sadhankar,537,0.0%,Independent
25,Chimote Rammurti Keshvrao,528,0.0%,Gondvana Gantantra Party
26,Bashir Khan,466,0.0%,Minorities Democratic Party
27,Shahid Sharif,452,0.0%,Janata Dal (United)
28,Pankaj Prafulkumar Bhansali,439,0.0%,Independent
29,Dr. Dharmendra Mandlik (PARATE),426,0.0%,Hindustan Janata Party
30,Babulal Sundarlal Banjare,419,0.0%,Independent
31,Dilip Narayan Bhorkar,415,0.0%,Independent
32,Dhiraj Jaidev Gajbhiye,390,0.0%,Independent
33,Ateeque Ahmad Malik,373,0.0%,Independent
