"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. Ram Shankar Katheria,583716,54.5%,Bharatiya Janta Party
2,Narayan Singh Suman,283453,26.5%,Bahujan Samaj Party
3,Maharaj Singh Dhangar,134708,12.6%,Samajwadi Party
4,Upendra Singh,34834,3.3%,Indian National Congress
5,Ravindra Singh,7804,0.7%,Aam Aadmi Party
6,Om Prakash,4243,0.4%,Independent
7,Dinesh Kumar Gautam,3657,0.3%,Independent
8,Anil,3646,0.3%,Bharatiya Kisan Parivartan Party
9,Vinod Kumar Singh,2584,0.2%,Independent
10,Amar Singh,2453,0.2%,Independent
11,Ashok Kumar,1416,0.1%,Independent
12,Prem Singh,771,0.1%,Bahujan Mukti Party
13,Anita,765,0.1%,Vanchitsamaj Insaaf Party
14,Ramesh,602,0.1%,Janata Dal (United)
15,Chandra Pal,557,0.1%,Adarsh Samaj Party
