"Position","Candidate Name","Votes","Votes %","Party"
1,Janak Ram,478773,53.0%,Bharatiya Janta Party
2,Dr. Jyoti Bharti,191837,21.2%,Indian National Congress
3,Anil Kumar,100419,11.1%,Janata Dal (United)
4,Chandradip Ram,16751,1.9%,Bahujan Samaj Party
5,Surendra Ram,16680,1.8%,Bharatiya Ekta Dal
6,Ram Kumar Manjhi,14162,1.6%,Independent
7,Dinanath Manjhi,13983,1.5%,Independent
8,Jitendra Manjhi,12423,1.4%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
9,Sateyndra Baitha,9509,1.1%,Independent
10,Mudrika Baitha,8491,0.9%,Independent
11,Ramashankar Ram,7147,0.8%,Rashtriya Jan-Jagram Morcha
12,Jaleshwar Nath Ram,6264,0.7%,Bahujan Mukti Party
13,Surendra Paswan,4717,0.5%,Rashtriya Bahujan Congress Party
14,Sunita Kumar,4586,0.5%,Samajwadi Party
