"Position","Candidate Name","Votes","Votes %","Party"
1,Pinaki Misra,523161,50.3%,Biju Janata Dal
2,Sucharita Mohanty,259800,25.0%,Indian National Congress
3,Ashok Sahu,215763,20.8%,Bharatiya Janta Party
4,Sabyasachi Mohapatra,13190,1.3%,Kalinga Sena
5,Bhaskar Chandra Mohanty,7094,0.7%,Bahujan Samaj Party
6,Ashok Pradhan,6969,0.7%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Nirad Baran Khuntia,4262,0.4%,Aam Aadmi Party
