"Position","Candidate Name","Votes","Votes %","Party"
1,Shibu Soren,335815,37.2%,Jharkhand Mukti Morcha
2,Sunil Soren,296785,32.9%,Bharatiya Janta Party
3,Babu Lal Marandi,158122,17.5%,Jharkhand Vikas Morcha (Prajatantrik)
4,Chhaya Kole,26442,2.9%,Communist Party Of India
5,Shrilal Kisku,10347,1.1%,Independent
6,Pulis Hemram,10283,1.1%,Independent
7,Baghrai Soren,9436,1.0%,Independent
8,Sokol Hansda,9059,1.0%,Bahujan Samaj Party
9,Babulal Soren,6284,0.7%,All India Trinamool Congress
10,Bitiya Manjhi,5813,0.6%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
11,Joshil Murmu,4567,0.5%,Independent
12,Stephan Besra,4310,0.5%,Jharkhand Disom Party
13,Sahadeo Soren,3739,0.4%,Aam Aadmi Party
14,Umanath Kole,3733,0.4%,Independent
