"Position","Candidate Name","Votes","Votes %","Party"
1,Adhikari Deepak (DEV),685696,50.2%,All India Trinamool Congress
2,Santosh Rana,424805,31.1%,Communist Party Of India
3,Manas Ranjan Bhunia,122928,9.0%,Indian National Congress
4,Md. Alam,94842,6.9%,Bharatiya Janta Party
5,Anjan Jana,8080,0.6%,Socialist Unity Centre Of India (COMMUNIST)
6,Goutam Kouri,5547,0.4%,Amra Bangalee
7,Gopal Mondal,4498,0.3%,Independent
8,Gopal Murmu,2154,0.2%,Jharkhand Anushilan Party
9,Gobardhan Ghosh,1983,0.1%,Rashtriya Janadhikar Suraksha Party
10,Gangaram Sasmal,1758,0.1%,Party For Democratic Socialism
