"Position","Candidate Name","Votes","Votes %","Party"
1,Harish Chandra Alias Harish Dwivedi,357680,34.1%,Bharatiya Janta Party
2,Brij Kishor Singh Dimpal,324118,30.9%,Samajwadi Party
3,Ram Prasad Chaudhary,283747,27.1%,Bahujan Samaj Party
4,Ambika Singh,27673,2.6%,Indian National Congress
5,Anand Rajpal,8407,0.8%,Aam Aadmi Party
6,Purushottam Pandey,8172,0.8%,Peace Party
7,Shivpoojan Rajbhar,7063,0.7%,Suheldev Bhartiya Samaj Party
8,Krishna Kumar Upadhyay Advocate,4823,0.5%,Independent
9,Ram Shankar Gupta,4521,0.4%,Independent
10,Arun Kumar,3587,0.3%,Independent
11,Bhagwandas,3532,0.3%,Bahujan Sangharsh Party (Kanshiram)
12,Ram Karan Alias R.K. Gautam,2803,0.3%,Bahujan Mukti Party
13,Sita Ram,2240,0.2%,Janvadi Party(Socialist)
