"Position","Candidate Name","Votes","Votes %","Party"
1,Radha Mohan Singh,400452,48.7%,Bharatiya Janta Party
2,Binod Kumar Srivastava,208289,25.3%,Rashtriya Janata Dal
3,Avaneesh Kumar Singh,128604,15.6%,Janata Dal (United)
4,Shambhu Das,11371,1.4%,Independent
5,Dilip Singh,10759,1.3%,Independent
6,Pramod Kumar Pandey,10505,1.3%,Independent
7,Suresh Paswan,10356,1.3%,Bahujan Samaj Party
8,Amit Kumar Choubey,7512,0.9%,Aam Aadmi Party
9,Shatrughan Tiwari,4893,0.6%,Bajjikanchal Vikas Party
10,Paras Nath Pandey,3027,0.4%,Janvadi Party(Socialist)
11,Pawan Kumar,2946,0.4%,Kalinga Sena
12,Anil Kumar Singh,2819,0.3%,Jai Maha Bharath Party
13,Moqim Ansari,2811,0.3%,J & K National Panthers Party
14,Md. Nasiruddin,2607,0.3%,Janta Dal Rashtravadi
15,Raghunath Gupta,2459,0.3%,Samajwadi Party
