"Position","Candidate Name","Votes","Votes %","Party"
1,Mukesh Rajput,406195,41.8%,Bharatiya Janta Party
2,Rameshwar Singh Yadav,255693,26.3%,Samajwadi Party
3,Jaiveer Singh,114521,11.8%,Bahujan Samaj Party
4,Salman Khurshid,95543,9.8%,Indian National Congress
5,Sachin Singh Yadav,58703,6.0%,Independent
6,Ram Kishore Diwedi,4974,0.5%,Independent
7,Malikhan Singh Advocate,4659,0.5%,Independent
8,Kishan Pal Singh,2933,0.3%,Independent
9,Mo. Tamajid,2655,0.3%,Peace Party
10,Mukesh Rajput,2420,0.2%,Independent
11,Anju,2254,0.2%,Bhartiya Shakti Chetna Party
12,Vimla Devi,2140,0.2%,Independent
13,Krishan Kumar Dixit Alias K. K. Dixit,2107,0.2%,Rashtriya Viklang Party
14,Anshu Mahan,2066,0.2%,Independent
15,Daya Shankar,1864,0.2%,Adarsh Rashtriya Vikas Party
16,Tarik Parvez,1857,0.2%,Aam Aadmi Party
17,Vrahma Saran Jatav,1809,0.2%,Independent
18,Anurag Rajput,1605,0.2%,Independent
19,Imamuddin Husain Husain,1537,0.2%,Independent
20,Anokhey Lal,1202,0.1%,Independent
21,Suresh Saraswat Alais Illaychiwala,1013,0.1%,Independent
22,Ramniwas Katheria,941,0.1%,Bahujan Mukti Party
