"Position","Candidate Name","Votes","Votes %","Party"
1,Kamal Nath,559755,50.5%,Indian National Congress
2,Choudhary Chandrabhan Kuber Singh,443218,40.0%,Bharatiya Janta Party
3,Pardeshi Hartapshah Tirgam,25628,2.3%,Gondvana Gantantra Party
4,Sitaram Sareyam,12762,1.2%,Independent
5,Nitinkumar Sahu,12241,1.1%,Bahujan Samaj Party
6,Dhaniram Yaduvanshi,6601,0.6%,Independent
7,Mahesh Madhavlal Dubey,5696,0.5%,Aam Aadmi Party
8,Dwarka Prasad Pahade,3450,0.3%,Independent
9,Jalasram Nagwanshi,3117,0.3%,Independent
10,Ramesh Patil,2872,0.3%,Ambedkarite Party Of India
11,Arvind Dongre,2484,0.2%,Bahujan Mukti Party
12,Er. Kripa Shankar Yadav,2140,0.2%,Independent
13,Subhash Shukla,2035,0.2%,Samajwadi Party
