"Position","Candidate Name","Votes","Votes %","Party"
1,Ap Jithender Reddy,334228,32.9%,Telangana Rashtra Samithi
2,Jaipal Reddy Sudini,331638,32.7%,Indian National Congress
3,Dr. Janardhan Reddy Nagam,272791,26.9%,Bharatiya Janta Party
4,S.R.Premaiah,30388,3.0%,Pyramid Party Of India
5,Kadire Krishna,15779,1.6%,Bahujan Samaj Party
6,H.A. Rahman,9105,0.9%,Yuvajana Sramika Rythu Congress Party
7,Ibrahim Syed,4549,0.4%,Independent
8,Dr. Chandra Sekhar. A,4033,0.4%,Independent
9,S. Shiva Shankar,3252,0.3%,Independent
