"Position","Candidate Name","Votes","Votes %","Party"
1,Parthipan R.,571254,53.1%,All India Anna Dravida Munnetra Kazhagam
2,Pon. Muthuramalingam,256722,23.9%,Dravida Munetra Kazhagam
3,Alagusundaram K.,134362,12.5%,Marumalarchi Dravida Munnetra Kazhagam
4,Aaron Rashid J.M.,71432,6.6%,Indian National Congress
5,Thangadurai V.,5299,0.5%,Bahujan Samaj Party
6,Mariappan S.K.,3521,0.3%,Independent
7,Ramprakash J.,3213,0.3%,Aam Aadmi Party
8,Senthil Rajan Mallar K.,2908,0.3%,Independent
9,Mamallan Tha. Kanagamuthu,2681,0.2%,Independent
10,Mohamed Miakhan P.,1954,0.2%,Independent
11,Mani S.V.,1349,0.1%,Independent
12,Kannan S.,1273,0.1%,Independent
13,Meenakshi Sundaram G.K.,1107,0.1%,Samajwadi Party
14,Asath M.M.,1082,0.1%,Independent
15,Innasimuthu M.S.,991,0.1%,Independent
16,Krishnamoorthy K.,946,0.1%,Communist Party Of India (Marxist-Leninist) Red Star
17,Muthuramalingam M.,859,0.1%,Independent
18,Rabeek K.,767,0.1%,Independent
19,Ramaya R.,742,0.1%,Independent
20,Iniyavan R.,739,0.1%,Independent
21,Voltaire M.J.,696,0.1%,Socialist Unity Centre Of India (COMMUNIST)
22,Raja V.,695,0.1%,Independent
23,Karuppiah R.,679,0.1%,Independent
