"Position","Candidate Name","Votes","Votes %","Party"
1,P K Sreemathi Teacher,427622,45.1%,Communist Party Of India (MARXIST)
2,K Sudhakaran,421056,44.5%,Indian National Congress
3,P C Mohanan Master,51636,5.5%,Bharatiya Janta Party
4,K K Abdul Jabbar,19170,2.0%,Social Democratic Party Of India
5,Sasidharan K V,6106,0.6%,Aam Aadmi Party
6,K Sudhakaran (KOLLON HOUSE),4240,0.4%,Independent
7,K Sudhakaran (SREESHYLAM),2745,0.3%,Independent
8,P P Mohanan,2371,0.3%,Independent
9,N Abdulla Davud,2109,0.2%,Bahujan Samaj Party
10,P P Aboobackar,1536,0.2%,Communist Party Of India (Marxist-Leninist) Red Star
11,Sreemathi Puthalath,1500,0.2%,Independent
