"Position","Candidate Name","Votes","Votes %","Party"
1,Dr. K.C.Patel,617772,55.0%,Bharatiya Janta Party
2,Kishanbhai Vestabhai Patel,409768,36.5%,Indian National Congress
3,Thakriya Ratilal Vajirbhai,14202,1.3%,Bahujan Samaj Party
4,Patel Budhabhai Ranchhodbhai,12757,1.1%,Independent
5,Gaurangbhai Rameshbhai Patel,11372,1.0%,Hindustan Janata Party
6,Vadia Laxmanbhai Chhaganbhai,9702,0.9%,Communist Party Of India (MARXIST-LENINIST) (LIBERATION)
7,Patel Govindbhai Ranchhodbhai,8047,0.7%,Aam Aadmi Party
8,Dr.Pankajkumar Parbhubhai Patel,6028,0.5%,Aadivasi Sena Party
9,Patel Shaileshbhai Gandabhai,2982,0.3%,Janata Dal (United)
10,Talaviya Babubhai Chhaganbhai,2967,0.3%,Bahujan Mukti Party
