"Position","Candidate Name","Votes","Votes %","Party"
1,Jai Prakash Narayan Yadav,285150,31.7%,Rashtriya Janata Dal
2,Putul Kumari,275006,30.6%,Bharatiya Janta Party
3,Sanjay Kumar -I,220708,24.5%,Communist Party Of India
4,Naresh Kumar Priyadarshi,30814,3.4%,Independent
5,Alimuddin Ansari,12871,1.4%,Independent
6,Indraraj Singh Saini,11520,1.3%,Independent
7,Sargun Sah,11056,1.2%,Independent
8,Sanjay Kumar-Ii,10558,1.2%,Bahujan Samaj Party
9,Niraj Kumar,6058,0.7%,Aam Aadmi Party
10,Akhil Bhartiya Sharma,4721,0.5%,Independent
11,Subodh Narayan Jha,4412,0.5%,All India Trinamool Congress
12,Vijay Bharti,4317,0.5%,Rajnaitik Vikalp Party
13,Mithlesh Kumar Singh,2977,0.3%,National Loktantrik Party
14,Deepak Kumar,2481,0.3%,Socialist Unity Centre Of India (COMMUNIST)
15,Mukesh Kumar Sinha,2405,0.3%,Bhartiya Ekta Manch Party
16,Mahboob Alam Ansari,2280,0.3%,Bharatiya Momin Front
17,Umakant Yadav,2266,0.3%,Bahujan Mukti Party
