"Position","Candidate Name","Votes","Votes %","Party"
1,Vasava Mansukhbhai Dhanjibhai,548902,51.8%,Bharatiya Janta Party
2,Patel Jayeshbhai Ambalalbhai (JAYESH KAKA),395629,37.3%,Indian National Congress
3,Anilkumar Chhitubhai Bhagat,49289,4.6%,Janata Dal (United)
4,Sindhi Mayyudeen Umarbhai,9862,0.9%,Independent
5,Sukhramsingh,7275,0.7%,Bahujan Samaj Party
6,Shaileshkumar Maganbhai Parmar,5125,0.5%,Independent
7,Jayendrasinh Rana,4818,0.5%,Aam Aadmi Party
8,Virsangbhai Parbatbhai Gohil,3353,0.3%,Independent
9,Bhura Shabbirbhai Valibhai,2694,0.3%,Independent
10,Nitin Ishwarlal Vakil (ADVOCATE),2661,0.3%,Independent
11,Rafikbhai Suleman Sapa,2644,0.2%,Independent
12,Anandkumar Sarvarsinh Vasava,1855,0.2%,Independent
13,Saiyad Mohsin Bapu Nanumiyawala,1406,0.1%,Bahujan Mukti Party
14,Sayyed Asif Zafar Ali,1083,0.1%,Apna Desh Party
